iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
JPN,Asia,Japan,7/26/2020,29382,596,996,3,232.312,4.712,7.875,0.024,,,,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63
JEY,Europe,Jersey,7/26/2020,332,0,31,0,3284.755,0,306.709,0,,,,,,,,,101073,,,,,,,,,,,,,
JOR,Asia,Jordan,7/26/2020,1154,8,11,0,113.102,0.784,1.078,0,,,,,,,,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53
KAZ,Asia,Kazakhstan,7/26/2020,81720,1494,585,0,4352.201,79.567,31.156,0,,,,,,,,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6
KEN,Africa,Kenya,7/26/2020,16643,375,278,4,309.515,6.974,5.17,0.074,,,,,,,,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
OWID_KOS,Europe,Kosovo,7/26/2020,6917,237,169,5,3578.794,122.622,87.439,2.587,,,,,,,,,1932774,168.155,,,,9795.834,0.6,,,,,,,
KWT,Asia,Kuwait,7/26/2020,63309,684,429,4,14824.509,160.166,100.455,0.937,,,,,,,,,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49
KGZ,Asia,Kyrgyzstan,7/26/2020,32813,1249,1277,28,5029.436,191.441,195.733,4.292,,,,,,,,,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45
LAO,Asia,Laos,7/26/2020,20,0,0,0,2.749,0,0,0,,,,,,,,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92
LVA,Europe,Latvia,7/26/2020,1206,1,31,0,639.38,0.53,16.435,0,1345,191070,101.299,0.713,1449,0.768,tests performed,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29
LBN,Asia,Lebanon,7/26/2020,3582,175,47,1,524.801,25.639,6.886,0.147,,,,,,,,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93
LSO,Africa,Lesotho,7/26/2020,419,60,9,3,195.589,28.008,4.201,1.4,,,,,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33
LBR,Africa,Liberia,7/26/2020,1155,20,71,0,228.366,3.954,14.038,0,,,,,,,,,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1
LBY,Africa,Libya,7/26/2020,2547,122,58,1,370.673,17.755,8.441,0.146,,,,,,,,,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91
LIE,Europe,Liechtenstein,7/26/2020,87,0,1,0,2281.249,0,26.221,0,,,,,,,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49
LTU,Europe,Lithuania,7/26/2020,2001,15,80,0,735.043,5.51,29.387,0,,,,,,,,,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93
LUX,Europe,Luxembourg,7/26/2020,6189,133,112,0,9886.961,212.468,178.921,0,4895,399477,638.167,7.82,7819,12.491,people tested,,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25
MKD,Europe,Macedonia,7/26/2020,9934,137,460,9,4768.213,65.759,220.795,4.32,,,,,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8
MDG,Africa,Madagascar,7/26/2020,8866,125,78,2,320.176,4.514,2.817,0.072,,,,,,,,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04
MWI,Africa,Malawi,7/26/2020,3453,0,87,0,180.502,0,4.548,0,,,,,,,,,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26
MYS,Asia,Malaysia,7/26/2020,8884,23,123,0,274.486,0.711,3.8,0,,,,,,,,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16
MDV,Asia,Maldives,7/26/2020,3252,132,15,0,6016.184,244.199,27.75,0,,,,,,,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92
MLI,Africa,Mali,7/26/2020,2503,0,123,0,123.6,0,6.074,0,,,,,,,,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31
MLT,Europe,Malta,7/26/2020,686,0,9,0,1553.657,0,20.383,0,,,,,,,,,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53
MRT,Africa,Mauritania,7/26/2020,6067,0,156,0,1304.827,0,33.551,0,,,,,,,,,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92
MUS,Africa,Mauritius,7/26/2020,344,0,10,0,270.49,0,7.863,0,,,,,,,,,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99
MEX,North America,Mexico,7/26/2020,385036,6751,43374,729,2986.332,52.361,336.408,5.654,,,,,,,,,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
MDA,Europe,Moldova,7/26/2020,22828,345,732,6,5658.951,85.524,181.459,1.487,,,,,,,,,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9
MCO,Europe,Monaco,7/26/2020,116,0,5,0,2955.866,0,127.408,0,,,,,,,,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75
MNG,Asia,Mongolia,7/26/2020,288,0,0,0,87.851,0,0,0,,,,,,,,,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87
MNE,Europe,Montenegro,7/26/2020,2569,0,40,0,4090.361,0,63.688,0,,,,,,,,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88
MSR,North America,Montserrat,7/26/2020,13,1,1,0,2600.52,200.04,200.04,0,,,,,,,,,4999,,,,,,,,,,,,,74.16
MAR,Africa,Morocco,7/26/2020,19645,811,305,6,532.233,21.972,8.263,0.163,,,,,,,,,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68
MOZ,Africa,Mozambique,7/26/2020,1616,26,11,0,51.703,0.832,0.352,0,,,,,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85
MMR,Asia,Myanmar,7/26/2020,349,3,6,0,6.414,0.055,0.11,0,,,,,,,,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13
NAM,Africa,Namibia,7/26/2020,1687,69,7,0,663.934,27.156,2.755,0,,,,,,,,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71
NPL,Asia,Nepal,7/26/2020,18483,109,45,1,634.352,3.741,1.544,0.034,,,,,,,,,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78
NLD,Europe,Netherlands,7/26/2020,52732,137,6140,1,3077.467,7.995,358.334,0.058,,,,,,,,,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28
NCL,Oceania,New Caledonia,7/26/2020,22,0,0,0,77.06,0,0,0,,,,,,,,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
NZL,Oceania,New Zealand,7/26/2020,1206,0,22,0,250.092,0,4.562,0,,,,,,,,,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29
NIC,North America,Nicaragua,7/26/2020,3439,0,108,0,519.129,0,16.303,0,,,,,,,,,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48
NER,Africa,Niger,7/26/2020,1124,0,69,0,46.434,0,2.85,0,,,,,,,,,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NGA,Africa,Nigeria,7/26/2020,39977,438,856,11,193.932,2.125,4.153,0.053,3063,262579,1.274,0.015,7197,0.035,samples tested,,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69
MNP,Oceania,Northern Mariana Islands,7/26/2020,40,2,2,0,694.963,34.748,34.748,0,,,,,,,,,57557,119.878,,,,,,194.994,,,,,,76.74
NOR,Europe,Norway,7/26/2020,9085,0,255,0,1675.815,0,47.037,0,,,,,,,,,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4
OMN,Asia,Oman,7/26/2020,74858,1067,371,12,14659.006,208.944,72.651,2.35,,,,,,,,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86
PAK,Asia,Pakistan,7/26/2020,273113,1226,5822,35,1236.408,5.55,26.357,0.158,23254,1868180,8.457,0.105,20931,0.095,tests performed,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PSE,Asia,Palestine,7/26/2020,12809,382,74,3,2510.871,74.881,14.506,0.588,,,,,,,,,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05
PAN,North America,Panama,7/26/2020,58864,871,1275,25,13642.448,201.865,295.497,5.794,,,,,,,,,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51
PNG,Oceania,Papua New Guinea,7/26/2020,39,7,0,0,4.359,0.782,0,0,,,,,,,,,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5
PRY,South America,Paraguay,7/26/2020,4328,104,40,2,606.797,14.581,5.608,0.28,,,,,,,,,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25
PER,South America,Peru,7/26/2020,379884,3923,18030,187,11521.466,118.98,546.83,5.672,,355666,10.787,,4512,0.137,people tested,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74
PHL,Asia,Philippines,7/26/2020,78412,1968,1897,18,715.561,17.959,17.311,0.164,,,,,,,,,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23
POL,Europe,Poland,7/26/2020,42622,584,1664,9,1126.178,15.431,43.967,0.238,,,,,,,,,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73
PRT,Europe,Portugal,7/26/2020,49955,263,1716,4,4899.131,25.793,168.29,0.392,,,,,,,,,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05
PRI,North America,Puerto Rico,7/26/2020,14540,573,201,10,5082.423,200.291,70.259,3.495,,,,,,,,,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1
QAT,Asia,Qatar,7/26/2020,109036,398,164,0,37845.793,138.144,56.923,0,,,,,,,,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23
ROU,Europe,Romania,7/26/2020,43678,1284,2165,15,2270.44,66.744,112.54,0.78,,,,,,,,,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05
RUS,Europe,Russia,7/26/2020,806720,5871,13192,146,5527.961,40.23,90.397,1,,,,,,,,,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58
RWA,Africa,Rwanda,7/26/2020,1752,23,5,0,135.267,1.776,0.386,0,,,,,,,,,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02
KNA,North America,Saint Kitts and Nevis,7/26/2020,17,0,0,0,319.597,0,0,0,,,,,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23
LCA,North America,Saint Lucia,7/26/2020,24,0,0,0,130.698,0,0,0,,,,,,,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2
VCT,North America,Saint Vincent and the Grenadines,7/26/2020,52,0,0,0,468.692,0,0,0,,,,,,,,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53
SMR,Europe,San Marino,7/26/2020,716,0,42,0,21097.295,0,1237.551,0,,,,,,,,,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97
STP,Africa,Sao Tome and Principe,7/26/2020,862,2,14,0,3933.182,9.126,63.88,0,,,,,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39
SAU,Asia,Saudi Arabia,7/26/2020,264973,2201,2703,31,7611.134,63.222,77.641,0.89,,,,,,,,,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13
SEN,Africa,Senegal,7/26/2020,9552,130,187,5,570.475,7.764,11.168,0.299,1367,104070,6.215,0.082,1101,0.066,tests performed,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94
SRB,Europe,Serbia,7/26/2020,22852,0,518,0,3358.318,0,76.125,0,,,,,,,,,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76
SYC,Africa,Seychelles,7/26/2020,114,0,0,0,1159.243,0,0,0,,,,,,,,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4
SLE,Africa,Sierra Leone,7/26/2020,1768,16,66,0,221.638,2.006,8.274,0,,,,,,,,,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7
SGP,Asia,Singapore,7/26/2020,49888,513,27,0,8527.363,87.687,4.615,0,,,,,,,,,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62
SXM,North America,Sint Maarten (Dutch part),7/26/2020,94,0,15,0,2192.062,0,349.797,0,,,,,,,,,42882,1209.088,,,,36327.232,,,,,,,,78.95
SVK,Europe,Slovakia,7/26/2020,2141,23,28,0,392.15,4.213,5.129,0,,,,,,,,37.96,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54
SVN,Europe,Slovenia,7/26/2020,2066,14,115,0,993.779,6.734,55.317,0,,,,,,,,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32
SOM,Africa,Somalia,7/26/2020,3178,7,93,0,199.959,0.44,5.852,0,,,,,,,,,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4
ZAF,Africa,South Africa,7/26/2020,434200,12204,6655,312,7321.018,205.771,112.21,5.261,,,,,,,,,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
KOR,Asia,South Korea,7/26/2020,14150,58,298,0,275.994,1.131,5.812,0,4759,1503712,29.33,0.093,8624,0.168,people tested,,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03
SSD,Africa,South Sudan,7/26/2020,2258,0,45,0,201.72,0,4.02,0,,,,,,,,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85
LKA,Asia,Sri Lanka,7/26/2020,2770,6,11,0,129.359,0.28,0.514,0,,,,,,,,,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98
